,phish_id,url,phish_detail_url,submission_time,verified,verification_time,online,target
0,6918980,https://www.warrisouth.dl.gov.ng/emtnuevo/188.166.98.24950542/agregar/telefono/contacto/operacion-exitosa.html,http://www.phishtank.com/phish_detail.php?phish_id=6918980,2021-01-12T14:05:30+00:00,yes,2021-01-12T14:17:21+00:00,yes,Other
1,6918979,https://www.tking.com.tn:443/icscards/,http://www.phishtank.com/phish_detail.php?phish_id=6918979,2021-01-12T14:05:25+00:00,yes,2021-01-12T14:17:21+00:00,yes,Other
2,6918978,https://www.tking.com.tn/icscards,http://www.phishtank.com/phish_detail.php?phish_id=6918978,2021-01-12T14:05:24+00:00,yes,2021-01-12T14:17:21+00:00,yes,Other
3,6918977,https://www.tking.com.tn:443/icscards/enrollment.html,http://www.phishtank.com/phish_detail.php?phish_id=6918977,2021-01-12T14:05:19+00:00,yes,2021-01-12T14:17:21+00:00,yes,Other
4,6918975,https://www.restrict-new-payee.com/Login.php,http://www.phishtank.com/phish_detail.php?phish_id=6918975,2021-01-12T14:05:09+00:00,yes,2021-01-12T14:17:21+00:00,yes,Other
5,6918966,https://www.authorize-secure-payee.com/Login.php,http://www.phishtank.com/phish_detail.php?phish_id=6918966,2021-01-12T14:04:24+00:00,yes,2021-01-12T14:17:21+00:00,yes,Other
6,6918960,https://www.02-billing-alert.com/login/login.php,http://www.phishtank.com/phish_detail.php?phish_id=6918960,2021-01-12T14:03:58+00:00,yes,2021-01-12T14:17:21+00:00,yes,Other
7,6918959,https://www.02-billing-alert.com/login/Finish.php,http://www.phishtank.com/phish_detail.php?phish_id=6918959,2021-01-12T14:03:53+00:00,yes,2021-01-12T14:17:21+00:00,yes,Other
8,6918958,https://web4281.web07.bero-webspace.de/sci/,http://www.phishtank.com/phish_detail.php?phish_id=6918958,2021-01-12T14:03:50+00:00,yes,2021-01-12T14:17:21+00:00,yes,Other
9,6918957,https://web4281.web07.bero-webspace.de/sci,http://www.phishtank.com/phish_detail.php?phish_id=6918957,2021-01-12T14:03:49+00:00,yes,2021-01-12T14:17:21+00:00,yes,Other
10,6918956,https://validate-newpayee.com/Halifax/Login.php,http://www.phishtank.com/phish_detail.php?phish_id=6918956,2021-01-12T14:03:44+00:00,yes,2021-01-12T14:16:34+00:00,yes,Other
11,6918955,https://validate-newpayee.com/Halifax,http://www.phishtank.com/phish_detail.php?phish_id=6918955,2021-01-12T14:03:43+00:00,yes,2021-01-12T14:16:34+00:00,yes,Other
12,6918954,https://updates-co-jp.today/pc,http://www.phishtank.com/phish_detail.php?phish_id=6918954,2021-01-12T14:03:39+00:00,yes,2021-01-12T14:16:34+00:00,yes,Other
